Date,GC1_Gold,DXY_USD,SPX,FTSE100,EWJ,EWW,XLE,XLU,XLV,XLY,AAPL,ABMD,AMZN,DIA,HFC,MDY,MNST,MO,ODFI,ORLY,REGN,ROST,SPY,STZ,TSCO,URI,XLF,XLI,XLK,XLP
1991/8/2,355.6,93.33,387.18,2601.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/8/9,358.4,92.87,387.12,2570.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/8/16,358,94.38,385.58,2621,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/8/23,353.4,93.58,394.17,2640.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/8/30,349.6,93.49,395.43,2645.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/9/6,350.2,92.12,389.1,2667.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/9/13,345.2,90.95,383.59,2625.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/9/20,348.9,90.77,387.92,2600.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/9/27,349.1,90.07,385.9,2599,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/10/4,359,90.06,381.24,2624.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/10/11,359.9,90.5,381.45,2555,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/10/18,362.2,90.43,392.5,2601.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/10/25,360.9,91.11,384.2,2514.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/11/1,356.9,88.73,391.32,2549.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/11/8,355.2,88.91,392.89,2559,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/11/15,360.1,87.86,382.62,2546.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/11/22,369.6,86.63,376.14,2446.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/11/29,367.9,88.19,375.22,2420.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/12/6,369.4,85.75,379.09,2388.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/12/13,359.4,86.62,384.47,2451.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/12/20,358.6,84.46,387.04,2358.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1991/12/27,353.6,83.67,406.46,2418.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/1/3,351.5,84.42,419.34,2504.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/1/10,356.9,86.51,415.1,2477.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/1/17,354.5,86.39,418.86,2536.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/1/24,354.7,86.37,415.48,2510.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/1/31,357,87.49,408.79,2571.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/2/7,355,85.29,411.09,2517.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/2/14,353.7,88.32,412.48,2513.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/2/21,351.2,89.65,411.46,2542.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/2/28,354.1,88.99,412.7,2562.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/3/6,350.3,90.48,404.44,2533.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/3/13,347.3,90.84,405.84,2476,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/3/20,338.5,90.94,411.3,2456.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/3/27,342.5,89.56,403.5,2447.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/4/3,341.2,89.09,401.55,2382.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/4/10,341.1,89.25,404.29,2572.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/4/17,337.4,90.51,416.05,2638.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/4/24,336.9,89.79,409.02,2643,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/5/1,339.3,89.12,412.53,2659.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/5/8,336.3,89.39,416.05,2725.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/5/15,339.1,87.63,410.09,2682.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/5/22,338.1,87.9,414.02,2715,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/5/29,336.4,87.22,415.35,2707.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/6/5,338.7,86.58,413.48,2668.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/6/12,342.9,85.97,409.76,2603.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/6/19,340.8,85.91,403.67,2584.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/6/26,342.5,84.13,403.45,2534.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/7/3,347.6,83.1,411.77,2497.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/7/10,349,82.62,414.62,2490.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/7/17,358,81.04,415.62,2431.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/7/24,359.5,83.18,411.6,2377.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/7/31,357.4,81.91,424.21,2399.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/8/7,350.3,81.65,418.88,2350.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/8/14,334.8,81.66,419.91,2356.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/8/21,337.3,80.16,414.85,2365.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/8/28,340.8,79.17,414.84,2312.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/9/4,342.2,78.82,417.08,2362.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/9/11,341.4,80.65,419.58,2370.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/9/18,351.5,84.73,422.93,2567,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/9/25,349.5,83.85,414.35,2601,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/10/2,348.1,81.36,410.47,2549.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/10/9,350.4,84.81,402.66,2541.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/10/16,342.4,84.56,411.73,2563.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/10/23,343.6,86.8,414.1,2669.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/10/30,340.1,87.63,418.68,2658.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/11/6,336.2,89.92,417.58,2702.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/11/13,335.4,88.97,422.43,2697.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/11/20,335.3,91.12,426.65,2732.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/11/27,334,91.11,430.16,2760.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/4,335.7,90.56,432.06,2759.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/11,335.2,90.13,433.73,2716.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/18,336.9,89.68,441.28,2789.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1992/12/25,332.9,91.14,439.77,2827.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/1/1,333.1,92.36,435.71,2846.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/1/8,329.5,93.45,429.05,2799.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/1/15,327,93.04,437.15,2765.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/1/22,328.6,91.41,436.11,2781.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/1/29,330.2,92.46,438.78,2807.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/2/5,328.7,94.4,448.93,2862.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/2/12,329.6,94.25,444.58,2843,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/2/19,330.3,93.38,434.22,2840,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/2/26,329,94.01,443.38,2868,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/3/5,330.4,94.3,446.11,2922.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/3/12,328.5,94.5,449.83,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/3/19,332.3,92.88,450.18,2900.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/3/26,332.5,92.93,447.78,2852.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/4/2,340.9,91.37,441.39,2869.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/4/9,337.6,91.22,441.84,2821.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/4/16,339,91.31,448.94,2824.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/4/23,346.5,89.38,437.03,2843.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/4/30,357.2,89.5,440.19,2813.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/5/7,357.4,89.23,442.31,2793.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/5/14,368.3,90.15,439.56,2847,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/5/21,377.9,90.7,445.84,2812.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/5/28,378.3,88.96,450.19,2840.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/6/4,376.8,90.75,450.06,2829.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/6/11,366.1,90.44,447.26,2861.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/6/18,371.3,92.93,443.68,2879.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/6/25,377.2,93.71,447.6,2887.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/7/2,386.7,93.49,445.84,2857.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/7/9,392.3,95.01,448.13,2843.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/7/16,392.9,94.6,445.75,2833,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/7/23,390,94.57,447.1,2827.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/7/30,407,95.37,448.13,2926.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/8/6,376.5,94.14,448.68,2969.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/8/13,369.3,95.13,450.14,3010.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/8/20,373.4,93.38,456.16,3057.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/8/27,369.3,93.3,460.54,3100.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/9/3,365.3,92.08,461.34,3057.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/9/10,350.7,90.8,461.72,3037,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/9/17,351.1,91.4,458.83,3005.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/9/24,357.5,92.65,457.63,3005.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/10/1,355,92.69,461.29,3039.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/10/8,359.9,91.65,460.31,3108.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/10/15,364.9,92.52,469.5,3120.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/10/22,370.2,94.44,463.27,3199,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/10/29,369.6,95.08,467.83,3171,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/11/5,377.8,94.88,459.57,3085.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/11/12,373.6,94.5,465.39,3099.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/11/19,378.3,96.16,462.6,3108,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/11/26,377.2,96.02,463.06,3111.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/3,376.8,96.09,464.89,3234.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/10,383.2,95.05,463.93,3261.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/17,387.4,95.74,466.38,3337.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/24,385.8,94.68,467.38,3412.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1993/12/31,391.9,96.84,466.45,3418.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/1/7,387.2,96.08,469.9,3446,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/1/14,390.1,96.68,474.91,3400.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/1/21,381.7,96.71,474.72,3484.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/1/28,376.9,96.18,478.7,3447.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/2/4,386.6,96.75,469.81,3475.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/2/11,380,96.65,470.18,3378.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/2/18,380.3,94.6,467.69,3382.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/2/25,379.8,94.77,466.07,3281.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/3/4,378.6,95.16,464.74,3278,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/3/11,386.1,93.91,466.44,3191.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/3/18,387.6,94.57,471.06,3218.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/3/25,391.2,93.5,460.58,3129,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/4/1,391.8,94.31,445.77,3086.4,,,,,,,,,,,,,,,,,,,,,,,,,,
